Number,Company,Role,Period,Location,Description
01,Best Buy,Computer Solutions Specialist,Oct 2025 - Present,Vaughan ON,Track daily service KPIs in Power BI resolving 100+ technical cases daily with high first-contact resolution.
02,Newrest,Production IT Support Specialist,Apr 2024 - Sep 2025,Mississauga ON,Reduced manual reporting effort by 35% with automated Power BI & Excel dashboards; improved data accuracy by 25%.
03,Meticulousorbit,Database & BI Analyst,Mar 2023 - Aug 2023,India,Designed Power BI compliance dashboards eliminating ~6 hrs/week of manual reporting; boosted reporting accuracy by 35%.
04,Apnahome Ltd,Data Analyst,Dec 2021 - Feb 2023,London UK,Saved 30 hours/week in reporting with automated Power BI/Excel KPI models; developed SKU pricing models boosting accuracy by 40%.
